Fund_Name,NAV,Date
SBI Small Cap Fund - Direct Plan - Growth,32.0113,04-02-2016
SBI Small Cap Fund - Direct Plan - Growth,32.1505,03-02-2016
SBI Small Cap Fund - Direct Plan - Growth,32.579,02-02-2016
SBI Small Cap Fund - Direct Plan - Growth,32.6827,01-02-2016
SBI Small Cap Fund - Direct Plan - Growth,32.5066,29-01-2016
SBI Small Cap Fund - Direct Plan - Growth,32.3849,28-01-2016
SBI Small Cap Fund - Direct Plan - Growth,32.3767,27-01-2016
SBI Small Cap Fund - Direct Plan - Growth,32.3429,25-01-2016
SBI Small Cap Fund - Direct Plan - Growth,32.1795,22-01-2016
SBI Small Cap Fund - Direct Plan - Growth,31.4128,21-01-2016
SBI Small Cap Fund - Direct Plan - Growth,31.3699,20-01-2016
SBI Small Cap Fund - Direct Plan - Growth,31.9417,19-01-2016
SBI Small Cap Fund - Direct Plan - Growth,31.6702,18-01-2016
SBI Small Cap Fund - Direct Plan - Growth,32.8379,15-01-2016
SBI Small Cap Fund - Direct Plan - Growth,33.6342,14-01-2016
SBI Small Cap Fund - Direct Plan - Growth,33.9198,13-01-2016
SBI Small Cap Fund - Direct Plan - Growth,34.5143,12-01-2016
SBI Small Cap Fund - Direct Plan - Growth,35.1181,11-01-2016
SBI Small Cap Fund - Direct Plan - Growth,35.1548,08-01-2016
SBI Small Cap Fund - Direct Plan - Growth,34.6033,07-01-2016
SBI Small Cap Fund - Direct Plan - Growth,35.5722,06-01-2016
SBI Small Cap Fund - Direct Plan - Growth,35.9544,05-01-2016
SBI Small Cap Fund - Direct Plan - Growth,35.7424,04-01-2016
SBI Small Cap Fund - Direct Plan - Growth,36.0391,01-01-2016
SBI Small Cap Fund - Direct Plan - Growth,35.7192,31-12-2015
SBI Small Cap Fund - Direct Plan - Growth,35.4189,30-12-2015
SBI Small Cap Fund - Direct Plan - Growth,35.1231,29-12-2015
SBI Small Cap Fund - Direct Plan - Growth,34.9675,28-12-2015
SBI Small Cap Fund - Direct Plan - Growth,34.6924,24-12-2015
SBI Small Cap Fund - Direct Plan - Growth,34.4628,23-12-2015
SBI Small Cap Fund - Direct Plan - Growth,34.2195,22-12-2015
SBI Small Cap Fund - Direct Plan - Growth,34.167,21-12-2015
SBI Small Cap Fund - Direct Plan - Growth,33.9321,18-12-2015
SBI Small Cap Fund - Direct Plan - Growth,34.0463,17-12-2015
SBI Small Cap Fund - Direct Plan - Growth,33.3913,16-12-2015
SBI Small Cap Fund - Direct Plan - Growth,33.3962,15-12-2015
SBI Small Cap Fund - Direct Plan - Growth,33.0979,14-12-2015
SBI Small Cap Fund - Direct Plan - Growth,33.0682,11-12-2015
SBI Small Cap Fund - Direct Plan - Growth,33.2474,10-12-2015
SBI Small Cap Fund - Direct Plan - Growth,32.871,09-12-2015
SBI Small Cap Fund - Direct Plan - Growth,33.2944,08-12-2015
SBI Small Cap Fund - Direct Plan - Growth,33.6603,07-12-2015
SBI Small Cap Fund - Direct Plan - Growth,33.694,04-12-2015
SBI Small Cap Fund - Direct Plan - Growth,33.7975,03-12-2015
SBI Small Cap Fund - Direct Plan - Growth,33.8327,02-12-2015
SBI Small Cap Fund - Direct Plan - Growth,33.5186,01-12-2015
SBI Small Cap Fund - Direct Plan - Growth,33.5197,30-11-2015
SBI Small Cap Fund - Direct Plan - Growth,33.5568,27-11-2015
SBI Small Cap Fund - Direct Plan - Growth,33.4275,26-11-2015
SBI Small Cap Fund - Direct Plan - Growth,33.4978,24-11-2015
SBI Small Cap Fund - Direct Plan - Growth,33.6307,23-11-2015
SBI Small Cap Fund - Direct Plan - Growth,33.4842,20-11-2015
SBI Small Cap Fund - Direct Plan - Growth,33.2648,19-11-2015
SBI Small Cap Fund - Direct Plan - Growth,32.7862,18-11-2015
SBI Small Cap Fund - Direct Plan - Growth,33.142,17-11-2015
SBI Small Cap Fund - Direct Plan - Growth,32.8399,16-11-2015
SBI Small Cap Fund - Direct Plan - Growth,32.8994,13-11-2015
SBI Small Cap Fund - Direct Plan - Growth,32.8783,10-11-2015
SBI Small Cap Fund - Direct Plan - Growth,33.0826,09-11-2015
SBI Small Cap Fund - Direct Plan - Growth,32.6837,06-11-2015
SBI Small Cap Fund - Direct Plan - Growth,32.938,05-11-2015
SBI Small Cap Fund - Direct Plan - Growth,33.2605,04-11-2015
SBI Small Cap Fund - Direct Plan - Growth,33.328,03-11-2015
SBI Small Cap Fund - Direct Plan - Growth,32.949,02-11-2015
SBI Small Cap Fund - Direct Plan - Growth,33.1814,30-10-2015
SBI Small Cap Fund - Direct Plan - Growth,33.2373,29-10-2015
SBI Small Cap Fund - Direct Plan - Growth,33.3372,28-10-2015
SBI Small Cap Fund - Direct Plan - Growth,33.4053,27-10-2015
SBI Small Cap Fund - Direct Plan - Growth,33.2641,26-10-2015
SBI Small Cap Fund - Direct Plan - Growth,33.5274,23-10-2015
SBI Small Cap Fund - Direct Plan - Growth,33.6267,21-10-2015
SBI Small Cap Fund - Direct Plan - Growth,33.5605,20-10-2015
SBI Small Cap Fund - Direct Plan - Growth,33.3166,19-10-2015
SBI Small Cap Fund - Direct Plan - Growth,33.1072,16-10-2015
SBI Small Cap Fund - Direct Plan - Growth,33.0744,15-10-2015
SBI Small Cap Fund - Direct Plan - Growth,32.851,14-10-2015
SBI Small Cap Fund - Direct Plan - Growth,32.8369,13-10-2015
SBI Small Cap Fund - Direct Plan - Growth,32.7741,12-10-2015
SBI Small Cap Fund - Direct Plan - Growth,32.8509,09-10-2015
